1	45	81	58
2	79	73	56
3	66	87	39
4	58	71	54
5	61	80	33
6	70	65	72
7	83	68	69
8	63	77	67
9	65	76	64
10	67	61	94
11	41	89	91
12	92	67	73
13	86	33	75
14	34	38	85
15	38	94	44
16	47	51	41
17	33	52	46
18	94	92	79
19	52	75	37
20	44	93	65
21	60	62	34
22	62	96	83
23	71	95	59
24	51	55	76
25	53	69	51
26	90	84	38
27	39	37	49
28	46	78	36
29	68	56	62
30	69	82	71
31	89	40	60
32	96	53	86
1	80	36	90
2	36	54	53
3	37	44	89
4	93	83	43
5	77	86	95
6	82	85	77
7	95	64	66
8	48	88	81
9	35	34	68
10	75	91	92
11	40	90	50
12	54	46	45
13	73	42	80
14	78	74	70
15	85	60	55
16	64	59	48
17	72	79	42
18	74	45	57
19	91	58	93
20	55	57	96
21	43	66	84
22	49	50	78
23	81	47	63
24	87	48	35
25	84	35	82
26	59	49	88
27	88	41	61
28	76	70	52
29	50	39	74
30	56	72	47
31	57	43	87
32	42	63	40
